transaction_id,timestamp,amount,merchant_id,merchant_category,location,card_age,transaction_frequency,is_fraud,hour,day_of_week,is_weekend
TXN009944,2025-10-10 03:56:46.878087,2901.54,MERCH_TRAVEL_9416,travel,"Chicago, IL",346,3,1,3,4,0
TXN001742,2025-10-10 07:21:03.717188,9.03,MERCH_RESTAURANT_7515,restaurant,"San Antonio, TX",1499,0,0,7,4,0
TXN004953,2025-10-10 07:21:54.717188,103.55,MERCH_PHARMACY_2065,pharmacy,"San Diego, CA",759,2,0,7,4,0
TXN001650,2025-10-10 07:24:42.717188,11.88,MERCH_ONLINE_RETAIL_6883,online_retail,"Los Angeles, CA",723,6,0,7,4,0
TXN007563,2025-10-10 07:29:07.717188,6.7,MERCH_SUBSCRIPTION_6398,subscription,"San Antonio, TX",186,4,0,7,4,0
TXN009331,2025-10-10 07:30:37.717188,22.61,MERCH_CLOTHING_3215,clothing,"San Jose, CA",1267,4,0,7,4,0
TXN007196,2025-10-10 07:31:34.717188,24.3,MERCH_ENTERTAINMENT_4779,entertainment,"San Jose, CA",1302,2,0,7,4,0
TXN002552,2025-10-10 07:47:52.717188,43.48,MERCH_GROCERY_9848,grocery,"Chicago, IL",1776,3,0,7,4,0
TXN009125,2025-10-10 07:54:14.717188,3.53,MERCH_RESTAURANT_2311,restaurant,"San Antonio, TX",1688,2,0,7,4,0
TXN000060,2025-10-10 07:56:06.717188,42.42,MERCH_SUBSCRIPTION_3200,subscription,"Los Angeles, CA",793,3,0,7,4,0
TXN006023,2025-10-10 07:56:48.717188,36.6,MERCH_ELECTRONICS_1450,electronics,"Philadelphia, PA",774,0,0,7,4,0
TXN006804,2025-10-10 07:58:25.717188,12.35,MERCH_PHARMACY_8032,pharmacy,"San Jose, CA",1442,4,0,7,4,0
TXN009629,2025-10-10 08:11:36.717188,280.69,MERCH_TRAVEL_4043,travel,"Houston, TX",716,5,0,8,4,0
TXN007328,2025-10-10 08:13:54.717188,44.46,MERCH_GAS_STATION_2628,gas_station,"San Jose, CA",672,3,0,8,4,0
TXN007928,2025-10-10 08:13:59.717188,572.19,MERCH_ELECTRONICS_9435,electronics,"Philadelphia, PA",1472,0,0,8,4,0
TXN005919,2025-10-10 08:16:31.717188,502.92,MERCH_TRAVEL_7553,travel,"Dallas, TX",775,1,0,8,4,0
TXN009357,2025-10-10 08:19:26.717188,73.26,MERCH_GAS_STATION_3806,gas_station,"Dallas, TX",1096,1,0,8,4,0
TXN004650,2025-10-10 08:21:26.717188,34.87,MERCH_PHARMACY_9257,pharmacy,"Philadelphia, PA",308,4,0,8,4,0
TXN004618,2025-10-10 08:33:28.717188,20.59,MERCH_UTILITIES_8799,utilities,"New York, NY",1143,1,0,8,4,0
TXN007768,2025-10-10 08:34:44.717188,65.64,MERCH_ONLINE_RETAIL_2582,online_retail,"Dallas, TX",1002,2,0,8,4,0
TXN005911,2025-10-10 08:51:28.717188,60.7,MERCH_ONLINE_RETAIL_4747,online_retail,"Los Angeles, CA",1426,2,0,8,4,0
TXN000209,2025-10-10 08:53:10.717188,56.05,MERCH_SUBSCRIPTION_4626,subscription,"San Jose, CA",851,1,0,8,4,0
TXN008361,2025-10-10 08:53:37.717188,22.88,MERCH_CLOTHING_7810,clothing,"Houston, TX",1073,2,0,8,4,0
TXN006824,2025-10-10 08:54:09.717188,16.58,MERCH_PHARMACY_5618,pharmacy,"Dallas, TX",738,3,0,8,4,0
TXN000845,2025-10-10 08:55:29.717188,47.35,MERCH_UTILITIES_9423,utilities,"Chicago, IL",1581,1,0,8,4,0
TXN003289,2025-10-10 08:56:08.717188,20.22,MERCH_SUBSCRIPTION_7400,subscription,"San Jose, CA",1069,2,0,8,4,0
TXN003119,2025-10-10 08:56:47.717188,15.36,MERCH_ELECTRONICS_9071,electronics,"Houston, TX",1361,1,0,8,4,0
TXN004535,2025-10-10 09:01:01.717188,17.46,MERCH_ELECTRONICS_5886,electronics,"Chicago, IL",1535,5,0,9,4,0
TXN008492,2025-10-10 09:01:14.717188,23.41,MERCH_ELECTRONICS_4688,electronics,"New York, NY",1061,5,0,9,4,0
TXN001326,2025-10-10 09:02:44.717188,100.07,MERCH_ENTERTAINMENT_2766,entertainment,"Houston, TX",267,4,0,9,4,0
TXN004481,2025-10-10 09:02:47.717188,13.24,MERCH_ELECTRONICS_8445,electronics,"New York, NY",865,3,0,9,4,0
TXN005277,2025-10-10 09:04:25.717188,76.55,MERCH_GROCERY_9531,grocery,"San Antonio, TX",448,2,0,9,4,0
TXN006127,2025-10-10 09:04:58.717188,13.86,MERCH_HOME_IMPROVEMENT_7825,home_improvement,"Phoenix, AZ",1421,2,0,9,4,0
TXN000123,2025-10-10 09:07:40.717188,233.48,MERCH_TRAVEL_6934,travel,"San Antonio, TX",396,0,0,9,4,0
TXN004215,2025-10-10 09:16:15.717188,4.35,MERCH_GROCERY_7175,grocery,"Dallas, TX",1303,1,0,9,4,0
